pixel	t_cor
0	-1.6750056902530324
1	-1.2352963799384276
2	-0.9361797702739543
3	-1.1172908117106124
4	-0.9949238091667658
5	-1.1770959377655876
6	-1.1184928400351686
7	-1.0873835937664345
8	-1.0569547947672666
9	-1.2549582037818985
10	-0.6551335489268004
11	-1.0361911191576374
12	-0.7471514549782674
13	-1.096810064855321
14	-1.1247357802525662
15	-1.2257672118298422
16	-1.2408156397633425
17	-0.8229787706686003
18	-1.4338344840998352
19	-1.456166552058024
20	-1.1689523633180718
21	-0.7271874721443103
22	-1.1268413243262023
23	-0.8960276986518443
24	-0.9142550542266383
25	-1.1251876776913383
26	-1.2305564179826354
27	-0.8757379327414105
28	-1.000719906226694
29	-0.8829331995322909
30	-0.9279320176896866
31	-1.2139069227975787
32	-1.563408958314364
33	-1.5134054319672308
34	-0.9760185383167956
35	-0.7435428634281627
36	-0.8432512765283937
37	-0.8756934521438942
38	-1.0852309163359826
39	-0.9125867296569175
40	-0.6407106749671405
41	-0.9179876590305389
42	-0.7431101895520007
43	-1.064044203411003
44	-1.2875425415068824
45	-0.9077839900105025
46	-0.8514636881383331
47	-0.6283750214239794
48	-0.027136159463632348
49	-0.02633805818176982
50	-0.26446720154766923
51	-0.46199614618264406
52	0.14243191459763493
53	0.17877469847543082
54	-0.46581847027774104
55	0.008163525817310946
56	0.018206521129906283
57	0.6819675510459662
58	0.1299250748203684
59	0.1967120460755305
60	-0.014811888328351452
61	0.5230256872560568
62	0.5355923725240623
63	0.3433291123497193
64	-1.6750056902530324
65	-1.2352963799384276
66	-0.9361797702739543
67	-1.1172908117106124
68	-0.9949238091667658
69	-1.1770959377655876
70	-1.1184928400351686
71	-1.0873835937664345
72	-1.0569547947672666
73	-1.2549582037818985
74	-0.6551335489268004
75	-1.0361911191576374
76	-0.7471514549782674
77	-1.096810064855321
78	-1.1247357802525662
79	-1.2257672118298422
80	-1.2408156397633425
81	-0.8229787706686003
82	-1.4338344840998352
83	-1.456166552058024
84	-1.1689523633180718
85	-0.7271874721443103
86	-1.1268413243262023
87	-0.8960276986518443
88	-0.9142550542266383
89	-1.1251876776913383
90	-1.2305564179826354
91	-0.8757379327414105
92	-1.000719906226694
93	-0.8829331995322909
94	-0.9279320176896866
95	-1.2139069227975787
96	-1.563408958314364
97	-1.5134054319672308
98	-0.9760185383167956
99	-0.7435428634281627
100	-0.8432512765283937
101	-0.8756934521438942
102	-1.0852309163359826
103	-0.9125867296569175
104	-0.6407106749671405
105	-0.9179876590305389
106	-0.7431101895520007
107	-1.064044203411003
108	-1.2875425415068824
109	-0.9077839900105025
110	-0.8514636881383331
111	-0.6283750214239794
112	-0.027136159463632348
113	-0.02633805818176982
114	-0.26446720154766923
115	-0.46199614618264406
116	0.14243191459763493
117	0.17877469847543082
118	-0.46581847027774104
119	0.008163525817310946
120	0.018206521129906283
121	0.6819675510459662
122	0.1299250748203684
123	0.1967120460755305
124	-0.014811888328351452
125	0.5230256872560568
126	0.5355923725240623
127	0.3433291123497193
128	-1.6750056902530324
129	-1.2352963799384276
130	-0.9361797702739543
131	-1.1172908117106124
132	-0.9949238091667658
133	-1.1770959377655876
134	-1.1184928400351686
135	-1.0873835937664345
136	-1.0569547947672666
137	-1.2549582037818985
138	-0.6551335489268004
139	-1.0361911191576374
140	-0.7471514549782674
141	-1.096810064855321
142	-1.1247357802525662
143	-1.2257672118298422
144	-1.2408156397633425
145	-0.8229787706686003
146	-1.4338344840998352
147	-1.456166552058024
148	-1.1689523633180718
149	-0.7271874721443103
150	-1.1268413243262023
151	-0.8960276986518443
152	-0.9142550542266383
153	-1.1251876776913383
154	-1.2305564179826354
155	-0.8757379327414105
156	-1.000719906226694
157	-0.8829331995322909
158	-0.9279320176896866
159	-1.2139069227975787
160	-1.563408958314364
161	-1.5134054319672308
162	-0.9760185383167956
163	-0.7435428634281627
164	-0.8432512765283937
165	-0.8756934521438942
166	-1.0852309163359826
167	-0.9125867296569175
168	-0.6407106749671405
169	-0.9179876590305389
170	-0.7431101895520007
171	-1.064044203411003
172	-1.2875425415068824
173	-0.9077839900105025
174	-0.8514636881383331
175	-0.6283750214239794
176	-0.027136159463632348
177	-0.02633805818176982
178	-0.26446720154766923
179	-0.46199614618264406
180	0.14243191459763493
181	0.17877469847543082
182	-0.46581847027774104
183	0.008163525817310946
184	0.018206521129906283
185	0.6819675510459662
186	0.1299250748203684
187	0.1967120460755305
188	-0.014811888328351452
189	0.5230256872560568
190	0.5355923725240623
191	0.3433291123497193
192	-1.6750056902530324
193	-1.2352963799384276
194	-0.9361797702739543
195	-1.1172908117106124
196	-0.9949238091667658
197	-1.1770959377655876
198	-1.1184928400351686
199	-1.0873835937664345
200	-1.0569547947672666
201	-1.2549582037818985
202	-0.6551335489268004
203	-1.0361911191576374
204	-0.7471514549782674
205	-1.096810064855321
206	-1.1247357802525662
207	-1.2257672118298422
208	-1.2408156397633425
209	-0.8229787706686003
210	-1.4338344840998352
211	-1.456166552058024
212	-1.1689523633180718
213	-0.7271874721443103
214	-1.1268413243262023
215	-0.8960276986518443
216	-0.9142550542266383
217	-1.1251876776913383
218	-1.2305564179826354
219	-0.8757379327414105
220	-1.000719906226694
221	-0.8829331995322909
222	-0.9279320176896866
223	-1.2139069227975787
224	-1.563408958314364
225	-1.5134054319672308
226	-0.9760185383167956
227	-0.7435428634281627
228	-0.8432512765283937
229	-0.8756934521438942
230	-1.0852309163359826
231	-0.9125867296569175
232	-0.6407106749671405
233	-0.9179876590305389
234	-0.7431101895520007
235	-1.064044203411003
236	-1.2875425415068824
237	-0.9077839900105025
238	-0.8514636881383331
239	-0.6283750214239794
240	-0.027136159463632348
241	-0.02633805818176982
242	-0.26446720154766923
243	-0.46199614618264406
244	0.14243191459763493
245	0.17877469847543082
246	-0.46581847027774104
247	0.008163525817310946
248	0.018206521129906283
249	0.6819675510459662
250	0.1299250748203684
251	0.1967120460755305
252	-0.014811888328351452
253	0.5230256872560568
254	0.5355923725240623
255	0.3433291123497193
256	-1.6750056902530324
257	-1.2352963799384276
258	-0.9361797702739543
259	-1.1172908117106124
260	-0.9949238091667658
261	-1.1770959377655876
262	-1.1184928400351686
263	-1.0873835937664345
264	-1.0569547947672666
265	-1.2549582037818985
266	-0.6551335489268004
267	-1.0361911191576374
268	-0.7471514549782674
269	-1.096810064855321
270	-1.1247357802525662
271	-1.2257672118298422
272	-1.2408156397633425
273	-0.8229787706686003
274	-1.4338344840998352
275	-1.456166552058024
276	-1.1689523633180718
277	-0.7271874721443103
278	-1.1268413243262023
279	-0.8960276986518443
280	-0.9142550542266383
281	-1.1251876776913383
282	-1.2305564179826354
283	-0.8757379327414105
284	-1.000719906226694
285	-0.8829331995322909
286	-0.9279320176896866
287	-1.2139069227975787
288	-1.563408958314364
289	-1.5134054319672308
290	-0.9760185383167956
291	-0.7435428634281627
292	-0.8432512765283937
293	-0.8756934521438942
294	-1.0852309163359826
295	-0.9125867296569175
296	-0.6407106749671405
297	-0.9179876590305389
298	-0.7431101895520007
299	-1.064044203411003
300	-1.2875425415068824
301	-0.9077839900105025
302	-0.8514636881383331
303	-0.6283750214239794
304	-0.027136159463632348
305	-0.02633805818176982
306	-0.26446720154766923
307	-0.46199614618264406
308	0.14243191459763493
309	0.17877469847543082
310	-0.46581847027774104
311	0.008163525817310946
312	0.018206521129906283
313	0.6819675510459662
314	0.1299250748203684
315	0.1967120460755305
316	-0.014811888328351452
317	0.5230256872560568
318	0.5355923725240623
319	0.3433291123497193
320	-1.6750056902530324
321	-1.2352963799384276
