vover,gain,opct,pde
0.79503,,,0.12102
0.90576,,,0.14771351945854486
1.01649,,0.0854851914239482,0.17107795192789188
1.12722,633514.2332670643,0.10346233273273274,0.19110759139784947
1.23795,700906.169648774,0.1228776917293233,0.2123886846153846
1.34868,768269.094039735,0.1451798493150685,0.2287287157894737
1.45941,834335.129570747,0.1719219070175438,0.2460128873873873
1.57014,897581.5704989153,0.1988194380165289,0.26227243609022555
1.68087,962938.6919739696,0.22395695961227782,0.27469782058823533
1.7916,1025430.5993883793,0.24811229402261709,0.2887478796992481
1.90233,1085743.197047132,0.2723786989247311,0.3007438842105263
2.01306,1143529.0403180008,0.29510728388746804,0.3137060630630631
2.12379,1213028.6486486485,0.31894227871772035,0.3251081593984962
2.2345200000000003,1280287.514450867,0.3420773947895792,0.33499312312312307
2.34525,1341950.1083815028,0.3693545960502692,0.34540466165413536
2.45598,1400768.6767895876,0.3952122914389799,0.355334606158833
2.56671,1466101.7787418654,0.4220838614035087,0.36444469740634006
2.6774400000000003,1531390.057803468,0.44849785263157893,0.37261421052631577
2.78817,1589711.3088685013,0.4749387684210524,0.38094562462462456
2.8989,1646718.9189189188,0.5015711490125673,0.3887322857142857
3.00963,1709565.6756756757,0.5286661191709844,0.39800551351351354
3.12036,1772412.4324324324,0.555614064516129,0.40567644148148146
3.23109,1834616.95412844,0.5822562157894736,0.4134879184861717
3.34182,1897150.39745628,0.6091669087837839,0.4196225561959654
3.45255,1958120.303468208,0.636313099662162,0.42731572
3.5632800000000002,2015864.7359454853,0.6627258527827646,0.4343781098901099
3.67401,2080001.36286201,0.6901501172413792,0.44056895540540547
3.78474,2142059.3816254414,0.7169710842105264,0.446458272189349
3.89547,,0.7433885760135135,0.4531991504702194
4.0062,,0.77062,
