pixel	correction
456	0.99025
457	0.988614
458	0.989343
459	0.99188
460	0.991713
461	0.997426
462	1.000471
463	0.994905
464	0.98497
465	0.987744
466	0.993181
467	0.98977
468	0.987328
469	0.984789
470	0.986319
471	0.98663
472	0.985686
473	0.989051
474	0.988345
475	0.98435
476	0.985093
477	0.985561
478	0.984951
479	0.984293
480	0.988866
481	0.987818
482	0.986305
483	0.987328
484	0.987768
485	0.987279
486	0.986848
487	0.98964
488	0.992591
489	0.991207
490	0.989464
491	0.994713
492	0.98536
493	0.982983
494	0.986021
495	0.984528
496	0.979432
497	0.976732
498	0.980307
499	0.977212
500	0.981687
501	0.983134
502	0.978397
503	0.980425
504	0.985556
505	0.983459
506	0.984365
507	0.982236
508	0.987328
509	0.986654
510	0.985694
511	0.984789
512	0.996374
513	0.999205
514	0.997228
515	1.000638
516	0.991778
517	0.987104
518	0.987091
519	0.991525
520	1.000695
521	1.000666
522	0.996093
523	0.996697
524	0.991094
525	0.988563
526	0.987569
527	0.991357
528	0.993657
529	0.9918
530	0.990154
531	0.992255
532	1.001808
533	0.998818
534	1.004345
535	0.9967
536	0.999125
537	0.99704
538	0.99463
539	0.996246
540	1.010507
541	1.00751
542	1.004977
543	1.001802
544	1.000596
545	1.002034
546	1.000642
547	0.997255
548	0.991036
549	0.992898
550	0.993807
551	0.989997
552	0.993139
553	0.999342
554	0.994519
555	0.997726
556	0.998168
557	1.003774
558	0.99499
559	1.000029
560	1.007957
561	1.012562
562	1.008221
563	1.01251
564	1.007044
565	1.004333
566	1.011251
567	1.008439
568	1.009707
569	1.008623
570	1.011777
571	1.00932
572	1.004179
573	1.006954
574	1.003974
575	1.00674
576	0.966572
577	0.998352
578	0.979982
579	1.00787
580	0.952589
581	0.943436
582	0.923989
583	0.935055
584	1.014446
585	1.017522
586	0.99821
587	0.990743
588	0.980074
589	0.976202
590	0.96091
591	0.96778
592	0.996481
593	0.989469
594	0.989055
595	0.999164
596	1.017574
597	1.005169
